order,heading,roll,pitch,ax,ay,az
112,359.75,1.1875,25.5,0.01,0.01,-0.01
113,359.75,1.1875,25.5,0.0,0.0,-0.04
114,359.75,1.1875,25.5,0.0,0.0,-0.04
115,359.75,1.1875,25.5,0.01,-0.01,-0.02
116,359.75,1.1875,25.5,0.03,0.0,-0.02
117,359.75,1.1875,25.5,0.01,0.0,-0.02
118,359.75,1.1875,25.5,0.01,0.0,-0.02
119,359.75,1.1875,25.5,0.01,0.0,0.0
120,359.75,1.1875,25.5,0.01,0.0,-0.06
121,359.75,1.1875,25.5,0.01,0.0,-0.06
122,359.75,1.1875,25.5,0.02,-0.01,-0.04
123,359.75,1.1875,25.5,0.01,0.01,-0.03
124,359.75,1.1875,25.5,0.02,0.0,0.0
125,359.75,1.1875,25.5,0.02,0.0,0.0
126,359.75,1.1875,25.5,0.01,0.0,-0.03
127,359.75,1.1875,25.5,0.0,0.0,-0.04
128,359.75,1.1875,25.5,0.01,0.0,-0.02
129,359.75,1.1875,25.5,0.01,0.0,-0.02
130,359.75,1.1875,25.5,0.01,0.01,-0.01
131,359.75,1.1875,25.5,0.01,0.01,-0.03
132,359.75,1.1875,25.5,0.02,-0.01,-0.03
133,359.75,1.1875,25.5,0.02,-0.01,-0.03
134,359.75,1.1875,25.5,0.02,-0.01,-0.04
135,359.75,1.1875,25.5,0.0,-0.02,-0.03
136,359.75,1.1875,25.5,0.01,0.0,-0.01
137,359.75,1.1875,25.5,0.0,0.0,-0.04
138,359.75,1.1875,25.5,0.0,0.0,-0.04
139,359.75,1.1875,25.5,0.01,-0.02,-0.03
140,359.75,1.1875,25.5,0.01,-0.02,-0.02
141,359.75,1.1875,25.5,0.01,-0.02,-0.02
142,359.75,1.1875,25.5,0.02,-0.02,-0.04
143,359.75,1.1875,25.5,0.01,-0.01,-0.02
144,359.75,1.1875,25.5,0.01,-0.01,-0.03
145,359.75,1.1875,25.5,0.02,0.0,-0.04
146,359.75,1.1875,25.5,0.01,0.0,-0.03
147,359.75,1.1875,25.5,0.01,0.0,-0.03
148,359.75,1.1875,25.5,0.0,-0.01,-0.02
149,359.75,1.1875,25.5,0.02,0.0,-0.01
150,359.75,1.1875,25.5,0.01,0.0,-0.02
151,359.75,1.1875,25.5,0.02,0.0,-0.03
152,359.75,1.1875,25.5,0.01,0.0,-0.03
153,359.75,1.1875,25.5,0.03,0.0,-0.02
154,359.75,1.1875,25.5,0.01,0.0,-0.04
155,359.75,1.1875,25.5,0.01,0.0,-0.04
156,359.75,1.1875,25.5,0.01,0.0,-0.05
157,359.75,1.1875,25.5,0.01,0.0,-0.05
158,359.75,1.1875,25.5,0.0,-0.01,-0.04
159,359.75,1.1875,25.5,0.01,0.0,-0.01
160,359.75,1.1875,25.5,0.01,0.0,-0.01
161,359.75,1.1875,25.5,0.01,0.0,-0.01
162,359.75,1.1875,25.5,0.01,0.0,-0.03
163,359.75,1.1875,25.5,0.02,-0.01,-0.04
164,359.75,1.1875,25.5,0.02,-0.01,-0.04
165,359.75,1.1875,25.5,0.0,0.0,-0.01
166,359.75,1.1875,25.5,0.02,0.0,0.0
167,359.75,1.1875,25.5,0.02,0.0,0.0
168,359.75,1.1875,25.5,0.0,0.0,0.0
169,359.75,1.1875,25.5,0.0,0.0,-0.03
170,359.75,1.1875,25.5,0.0,0.01,-0.05
171,359.75,1.1875,25.5,0.0,0.01,-0.05
172,359.75,1.1875,25.5,0.01,-0.02,-0.06
173,359.75,1.1875,25.5,0.0,0.0,-0.04
174,359.75,1.1875,25.5,0.0,0.0,-0.04
175,359.75,1.1875,25.5,0.01,-0.01,-0.02
176,359.75,1.1875,25.5,0.01,0.0,0.0
177,359.75,1.1875,25.5,0.0,0.0,-0.02
178,359.75,1.1875,25.5,0.0,0.0,-0.02
179,359.75,1.1875,25.5,0.01,0.0,-0.03
180,359.75,1.1875,25.5,0.01,0.0,-0.03
181,359.75,1.1875,25.5,0.01,0.0,-0.02
182,359.75,1.1875,25.5,0.0,-0.03,-0.07
183,359.75,1.1875,25.5,0.01,0.0,-0.05
184,359.75,1.1875,25.5,0.01,0.0,-0.05
185,359.75,1.1875,25.5,0.01,0.0,-0.02
186,359.75,1.1875,25.5,0.01,0.0,-0.04
187,359.75,1.1875,25.5,0.01,0.0,-0.04
188,359.75,1.1875,25.5,0.01,-0.01,-0.04
189,359.75,1.1875,25.5,0.01,-0.01,-0.04
190,359.75,1.1875,25.5,0.0,0.01,-0.03
191,359.75,1.1875,25.5,0.02,0.0,-0.03
192,359.75,1.1875,25.5,0.01,0.0,-0.01
193,359.75,1.1875,25.5,0.01,0.0,-0.01
194,359.75,1.1875,25.5,0.01,-0.02,-0.05
195,359.75,1.1875,25.5,0.0,0.0,-0.02
196,359.75,1.1875,25.5,0.0,0.0,-0.02
197,359.75,1.1875,25.5,0.01,0.0,-0.02
198,359.75,1.1875,25.5,0.02,0.0,-0.02
199,359.75,1.1875,25.5,0.01,-0.01,-0.01
200,359.75,1.1875,25.5,0.01,-0.01,-0.01
201,359.75,1.1875,25.5,0.0,-0.01,-0.04
202,359.75,1.1875,25.5,0.02,0.0,-0.02
203,359.75,1.1875,25.5,0.02,0.0,-0.02
