order,heading,roll,pitch,ax,ay,az
103,135.625,0.3125,-17.5625,0.94,1.21,2.55
104,135.9375,0.25,-17.25,0.03,3.24,-1.88
105,135.625,0.375,-17.1875,-1.22,-4.53,0.89
106,135.5,0.75,-17.375,0.45,4.23,0.67
107,135.6875,0.75,-17.125,0.8,-1.29,0.59
108,135.8125,0.625,-17.0625,-0.41,-2.87,-0.39
109,135.5,0.75,-17.1875,-0.3,-2.73,1.01
110,135.375,0.9375,-17.375,-0.76,-1.47,-0.24
111,135.5625,0.875,-17.25,0.82,-1.84,-1.17
112,135.875,0.875,-17.0625,-1.05,-1.97,0.09
113,135.6875,1.125,-17.25,0.96,-2.49,-3.72
114,135.6875,1.25,-16.9375,3.85,-1.75,-0.82
115,135.625,1.1875,-16.9375,-4.08,-2.4,0.95
116,135.5625,0.8125,-17.0625,-1.33,-0.3,-0.43
117,135.4375,0.6875,-17.3125,-0.6,-3.65,1.06
118,135.3125,0.875,-17.4375,0.53,-0.93,-1.19
119,135.6875,0.75,-17.3125,1.74,-0.37,0.13
120,135.8125,0.625,-17.1875,-0.73,0.09,0.05
121,135.8125,0.5625,-17.1875,-1.64,-2.05,2.17
122,135.6875,0.5,-17.3125,0.01,1.34,0.96
123,135.75,0.5625,-17.3125,0.0,-3.45,-0.72
124,135.75,0.6875,-17.125,4.72,-0.03,-1.91
125,135.8125,0.75,-17.0,-1.2,-0.24,3.06
126,135.75,0.625,-17.1875,-1.48,0.68,-0.43
127,135.625,0.4375,-17.3125,-0.64,-4.17,-0.7
128,135.6875,0.5625,-17.3125,2.63,2.45,-0.24
129,135.8125,0.6875,-17.1875,2.08,-3.65,-2.09
130,135.75,0.5625,-17.125,-3.32,0.05,5.67
131,135.625,0.3125,-17.1875,-1.86,-1.64,-0.11
132,135.625,0.3125,-17.25,-0.59,0.04,-1.21
133,135.6875,0.375,-17.125,15.31,2.47,-6.03
134,135.625,0.6875,-16.9375,5.03,5.5,-1.76
135,134.9375,1.1875,-16.8125,4.79,3.64,2.55
136,133.5625,1.125,-17.0625,4.17,2.89,-2.52
137,130.0625,1.25,-17.0,4.48,3.81,-1.58
138,128.0625,1.375,-16.9375,5.52,2.74,-2.98
139,125.875,1.5,-16.875,2.92,1.37,-2.17
140,123.5625,1.375,-17.0,0.64,4.81,4.27
141,121.1875,1.125,-17.125,0.89,-0.97,0.23
142,118.9375,1.125,-17.1875,4.46,1.29,-1.23
143,116.6875,1.375,-17.25,2.06,-2.33,0.33
144,114.375,1.5,-17.25,3.44,1.35,-2.58
145,112.0625,1.5625,-17.0,1.57,1.52,-1.16
146,107.375,1.5625,-17.0,-1.02,2.15,2.27
147,105.125,1.6875,-17.0,-0.87,0.95,-0.87
148,102.9375,2.0,-16.9375,4.34,1.55,-0.73
149,100.75,2.375,-16.875,2.91,2.33,-1.04
150,98.625,2.625,-16.8125,2.18,-0.49,-0.31
151,94.3125,2.375,-16.75,2.16,2.21,-2.01
152,92.25,2.125,-16.8125,0.26,1.28,0.9
153,90.1875,1.8125,-17.0,1.36,0.36,-0.45
154,88.25,1.6875,-17.0625,2.36,1.72,-3.47
155,86.3125,1.625,-17.0625,1.01,0.73,-0.44
156,84.4375,1.375,-17.125,-4.06,0.97,4.36
157,82.75,1.5,-17.0,3.68,0.95,0.18
158,81.0,1.6875,-16.875,1.3,-0.7,-0.65
159,79.1875,1.625,-16.8125,-0.44,1.22,-0.48
160,77.3125,1.6875,-16.8125,1.26,-0.79,-0.02
161,75.5,1.9375,-16.8125,0.96,2.57,0.35
162,73.625,2.1875,-16.8125,1.1,0.83,-0.45
163,71.8125,2.4375,-16.875,2.0,-0.38,-1.32
164,68.25,2.625,-16.75,1.05,0.65,-0.14
165,66.4375,2.5625,-16.5625,-0.16,-0.07,-0.34
166,64.75,2.4375,-16.5,-0.09,-1.77,-1.03
167,63.125,2.25,-16.5,0.73,2.13,1.54
168,61.5,2.25,-16.625,-2.05,-3.82,-0.71
169,59.9375,2.0625,-16.625,-1.67,-2.02,1.57
170,58.5,1.9375,-16.75,-0.93,-2.61,1.74
171,57.1875,1.875,-16.875,-1.29,-2.73,1.17
172,55.9375,1.875,-16.875,-1.22,-3.37,-0.08
173,53.8125,2.125,-16.625,-1.84,-1.0,1.16
174,53.0,2.375,-16.5,3.31,-2.51,-3.92
175,52.1875,2.5,-16.375,-0.63,-0.86,-0.85
176,51.3125,2.125,-16.375,-2.45,3.69,3.91
177,50.625,1.9375,-16.5625,0.89,1.66,-0.78
178,49.5,2.125,-16.5,-0.48,-1.51,-1.91
179,49.0625,2.125,-16.5625,-0.06,0.48,1.39
180,48.6875,2.0625,-16.5,-1.33,-0.39,-0.64
181,48.375,2.0625,-16.5,1.85,1.11,0.67
182,48.0625,2.125,-16.4375,-2.27,-2.0,1.2
183,47.8125,2.0,-16.3125,-0.96,-1.13,1.17
184,47.625,2.0625,-16.3125,0.3,-0.5,-0.07
185,47.375,2.1875,-16.375,-1.18,-1.12,0.06
186,47.1875,2.1875,-16.4375,-0.17,0.3,-0.36
187,47.0,2.3125,-16.5625,-0.44,-0.04,0.53
188,46.875,2.375,-16.625,-1.56,-0.92,0.73
189,46.75,2.375,-16.625,-0.28,-0.46,0.83
190,46.6875,2.4375,-16.625,3.92,-1.07,-1.92
191,46.4375,2.25,-16.4375,-2.56,-1.61,1.6
192,46.25,2.0625,-16.4375,-2.88,-0.62,2.89
193,46.125,2.0625,-16.4375,-0.84,-3.34,-0.68
194,46.0625,2.125,-16.4375,-0.54,-2.14,0.44
195,46.0625,2.1875,-16.5625,1.25,-1.4,-1.02
196,46.0625,2.25,-16.625,-1.59,-1.41,1.91
197,46.0,2.125,-16.625,-1.89,0.05,2.55
198,45.9375,2.375,-16.5,6.93,-1.07,-4.92
199,45.6875,2.625,-16.3125,5.11,-0.17,-4.03
200,45.0625,2.5,-16.4375,2.31,-0.92,-2.68
201,43.375,2.75,-16.5625,0.38,2.49,0.2
202,42.25,2.75,-16.75,3.05,2.75,-1.12
203,39.9375,2.75,-16.75,1.38,3.3,-2.0
204,36.0625,2.375,-16.4375,-1.23,-4.07,1.08
205,33.3125,2.75,-16.3125,-0.82,4.48,-1.18
206,30.5625,3.0625,-16.4375,0.13,3.05,0.32
207,29.25,3.125,-16.4375,3.07,-1.46,-0.37
208,26.9375,3.375,-16.4375,0.54,-1.55,0.44
209,24.1875,3.25,-16.125,0.94,-2.49,-2.45
210,21.375,3.0625,-16.0,-0.09,2.25,4.17
211,19.9375,3.125,-15.9375,0.01,-1.19,-0.15
212,17.25,3.25,-15.9375,3.04,3.08,2.58
213,15.875,3.5,-15.9375,0.75,-0.32,-6.13
214,13.125,3.375,-15.75,-1.41,-3.86,-1.35
215,12.0,3.5,-15.75,0.08,4.11,0.7
216,10.9375,3.4375,-15.625,1.59,0.43,0.26
217,8.8125,3.25,-15.5,0.48,1.37,2.79
218,7.6875,3.125,-15.5,0.02,0.04,-0.07
219,6.5,3.125,-15.375,-1.5,-2.07,-0.59
220,5.3125,3.0625,-15.375,-0.77,1.11,1.45
221,4.0625,2.9375,-15.375,0.64,-0.01,-0.69
